crowd_problem_id,Case,Clip,chosen_answer,crowd_label,crowd_agreement,expert_problem_id,gs_label,gs_agreement,split,expert_user_id,expert_chosen_answer
7678499,Case-024,3,"['no b-lines', 'no b-lines', 'no b-lines', '1 or more discrete b-lines', 'no b-lines', 'no b-lines', '1 or more discrete b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']",no b-lines,0.944444444,7293519,no b-lines,0.666666667,test,"[31771, 65108, 66504, 271422, 271423, 272913]","['1 or more discrete b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'confluent b-lines']"
7678515,Case-001,2,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'confluent b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']",no b-lines,0.972972973,7293535,no b-lines,1,test,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']"
7678520,Case-068,3,"['confluent b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines']",1 or more discrete b-lines,0.7,7293540,1 or more discrete b-lines,0.5,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines']"
7678522,Case-021,15,"['confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines']",confluent b-lines,0.8125,7293542,1 or more discrete b-lines,0.5,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines']"
7678526,Case-024,6,"['confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines']",confluent b-lines,0.872340426,7293546,1 or more discrete b-lines,0.666666667,test,"[31771, 65108, 66504, 271422, 271423, 272913]","['1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines']"
7678531,Case-022,24,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']",no b-lines,1,7293551,no b-lines,1,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']"
7678536,Case-025,16,"['no b-lines', 'no b-lines', 'confluent b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', '1 or more discrete b-lines', 'no b-lines', 'no b-lines', 'no b-lines', '1 or more discrete b-lines', 'no b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', '1 or more discrete b-lines', 'no b-lines', 'no b-lines']",no b-lines,0.810810811,7293556,no b-lines,0.666666667,test,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', '1 or more discrete b-lines', 'no b-lines', '1 or more discrete b-lines', 'no b-lines', 'no b-lines']"
7678545,Case-045,33,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']",no b-lines,1,7293565,no b-lines,1,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']"
7678547,Case-064,25,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'confluent b-lines', 'no b-lines', 'no b-lines', 'confluent b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'confluent b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'confluent b-lines', 'no b-lines', 'confluent b-lines', 'no b-lines', 'no b-lines', 'no b-lines']",no b-lines,0.880952381,7293567,no b-lines,0.833333333,test,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'no b-lines', 'no b-lines', 'confluent b-lines', 'no b-lines', 'no b-lines']"
7678548,Case-020,8,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']",no b-lines,1,7293568,no b-lines,0.833333333,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'no b-lines', '1 or more discrete b-lines', 'no b-lines', 'no b-lines', 'no b-lines']"
