Case ID,Case,Clip,Qualified Reads,Majority Label,label,split,Agreement,First Choice Answer,First Choice Votes,Second Choice Answer,Second Choice Votes,Third Choice Answer,Third Choice Votes
7678572,Case-052,21,23,'1 or more discrete b-lines',1,0,0.435,'1 or more discrete b-lines',10,'no b-lines',8,'confluent b-lines',5
7678862,Case-041,14,13,'no b-lines',0,0,0.538,'no b-lines',7,'1 or more discrete b-lines',5,'confluent b-lines',1
7678960,Case-056,30,7,'no b-lines',0,0,0.571,'no b-lines',4,'1 or more discrete b-lines',3,'confluent b-lines',0
7679189,Case-020,1,18,'1 or more discrete b-lines',1,0,0.556,'1 or more discrete b-lines',10,'no b-lines',8,'confluent b-lines',0
7679222,Case-001,3,24,'1 or more discrete b-lines',1,0,0.542,'1 or more discrete b-lines',13,'confluent b-lines',11,'no b-lines',0
7679332,Case-061,41,18,'no b-lines',0,0,0.5,'no b-lines',9,'1 or more discrete b-lines',8,'confluent b-lines',1
7679345,Case-077,11,9,'confluent b-lines',1,0,0.556,'confluent b-lines',5,'1 or more discrete b-lines',4,'no b-lines',0
7679405,Case-069,9,13,'no b-lines',0,0,0.462,'no b-lines',6,'confluent b-lines',5,'1 or more discrete b-lines',2
7679406,Case-018,21,11,'1 or more discrete b-lines',1,0,0.545,'1 or more discrete b-lines',6,'no b-lines',5,'confluent b-lines',0
7679661,Case-093,18,18,'confluent b-lines',1,0,0.556,'confluent b-lines',10,'1 or more discrete b-lines',8,'no b-lines',0
7679880,Case-149,6,26,'1 or more discrete b-lines',1,0,0.538,'1 or more discrete b-lines',14,'confluent b-lines',12,'no b-lines',0
7680030,Case-170,30,29,'1 or more discrete b-lines',1,0,0.379,'1 or more discrete b-lines',11,'confluent b-lines',10,'no b-lines',8
7680061,Case-115,11,17,'1 or more discrete b-lines',1,0,0.412,'no b-lines',7,'1 or more discrete b-lines',7,'confluent b-lines',3
7680108,Case-155,19,23,'1 or more discrete b-lines',1,0,0.522,'1 or more discrete b-lines',12,'no b-lines',11,'confluent b-lines',0
7680156,Case-144,36,31,'confluent b-lines',1,0,0.516,'confluent b-lines',16,'1 or more discrete b-lines',15,'no b-lines',0
7680186,Case-134,16,33,'1 or more discrete b-lines',1,0,0.455,'no b-lines',15,'1 or more discrete b-lines',15,'confluent b-lines',3
7680235,Case-147,5,24,'confluent b-lines',1,0,0.375,'confluent b-lines',9,'1 or more discrete b-lines',8,'no b-lines',7
7680287,Case-167,13,8,'1 or more discrete b-lines',1,0,0.5,'no b-lines',4,'1 or more discrete b-lines',4,'confluent b-lines',0
7680469,Case-117,3,10,'confluent b-lines',1,0,0.6,'confluent b-lines',6,'1 or more discrete b-lines',4,'no b-lines',0
7680755,Case-214,23,27,'confluent b-lines',1,0,0.519,'confluent b-lines',14,'1 or more discrete b-lines',13,'no b-lines',0
7680856,Case-207,24,15,'confluent b-lines',1,0,0.4,'confluent b-lines',6,'no b-lines',5,'1 or more discrete b-lines',4
7678520,Case-068,3,20,'1 or more discrete b-lines',1,0,0.7,'1 or more discrete b-lines',14,'confluent b-lines',6,'no b-lines',0
7678522,Case-021,15,16,'confluent b-lines',1,0,0.812,'confluent b-lines',13,'1 or more discrete b-lines',3,'no b-lines',0
7678531,Case-022,24,7,'no b-lines',0,0,1,'no b-lines',7,'confluent b-lines',0,'1 or more discrete b-lines',0
7678545,Case-045,33,8,'no b-lines',0,0,1,'no b-lines',8,'confluent b-lines',0,'1 or more discrete b-lines',0
